PlayerID,Player,Squad,League,Pos
4400,Ramy Bensebaini,Dortmund,Bundesliga,DF
4402,Robert Andrich,Leverkusen,Bundesliga,"MF,DF"
4403,Robert Skov,Union Berlin,Bundesliga,"DF,MF"
4406,Ruben Vargas,Augsburg,Bundesliga,"MF,FW"
4411,Sebastiaan Bornauw,Wolfsburg,Bundesliga,DF
4415,Sheraldo Becker,Real Sociedad,La Liga,"FW,MF"
4419,Stefan Lainer,Gladbach,Bundesliga,DF
4424,Taiwo Awoniyi,Nott'ham Forest,Premier League,FW
4427,Timo Becker,Holstein Kiel,Bundesliga,DF
4429,Tom Krauß,Bochum,Bundesliga,MF
4435,Xaver Schlager,RB Leipzig,Bundesliga,MF
4436,Yannik Keitel,Stuttgart,Bundesliga,MF
4438,Álvaro Odriozola,Real Sociedad,La Liga,DF
4441,Alexander Sørloth,Atlético Madrid,La Liga,FW
4445,Ansgar Knauff,Eint Frankfurt,Bundesliga,"MF,DF"
4446,Armindo Sieb,Mainz 05,Bundesliga,"FW,MF"
4447,Atakan Karazor,Stuttgart,Bundesliga,MF
4448,Baptiste Santamaria,Nice,Ligue 1,MF
4449,Bartosz Białek,Wolfsburg,Bundesliga,FW
4454,Carlo Boukhalfa,St Pauli,Bundesliga,MF
4471,Eren Dinkçi,Freiburg,Bundesliga,"MF,FW"
4473,Ermedin Demirović,Stuttgart,Bundesliga,FW
4476,Felix Agu,Werder Bremen,Bundesliga,DF
4479,Georginio Rutter,Brighton,Premier League,"MF,FW"
4483,Hugo Novoa,Alavés,La Liga,"DF,MF"
4484,Hwang Hee-Chan,Wolves,Premier League,"MF,FW"
4487,Jeremie Frimpong,Leverkusen,Bundesliga,"DF,MF"
4494,Josep Martinez,Inter,Serie A,GK
4495,Josip Stanišić,Bayern Munich,Bundesliga,DF
4496,Jude Bellingham,Real Madrid,La Liga,MF
4500,Justin Kluivert,Bournemouth,Premier League,MF
4504,Kevin Schade,Brentford,Premier League,FW
4506,Kiliann Sildillia,Freiburg,Bundesliga,DF
4508,Konstantinos Mavropanos,West Ham,Premier League,DF
4513,Luca Philipp,Hoffenheim,Bundesliga,GK
4514,Lucas Tousart,Union Berlin,Bundesliga,MF
4517,Marc Roca,Betis,La Liga,MF
4519,Marcel Lotka,Dortmund,Bundesliga,GK
4528,Mattéo Guendouzi,Lazio,Serie A,MF
4529,Max Geschwill,Holstein Kiel,Bundesliga,DF
4530,Maxence Lacroix,Crystal Palace,Premier League,DF
4539,Naouirou Ahamada,Crystal Palace,Premier League,MF
4546,Omar Alderete,Getafe,La Liga,DF
4549,Paul Nebel,Mainz 05,Bundesliga,MF
4554,Ritsu Doan,Freiburg,Bundesliga,"FW,MF"
4556,Robert Gumny,Augsburg,Bundesliga,DF
4558,Rocco Reitz,Gladbach,Bundesliga,MF
4559,Romano Schmid,Werder Bremen,Bundesliga,MF
4561,Ryan Sessegnon,Fulham,Premier League,"FW,DF"
4571,Silas Katompa,Stuttgart,Bundesliga,"FW,MF"
4572,Stefan Drljača,Stuttgart,Bundesliga,GK
4573,Stefan Ortega,Manchester City,Premier League,GK
4577,Tanguy Coulibaly,Montpellier,Ligue 1,"FW,MF"
4578,Tanguy Nianzou,Sevilla,La Liga,DF
4579,Thomas Meunier,Lille,Ligue 1,DF
4583,Tim Siersleben,Heidenheim,Bundesliga,DF
4587,Wataru Endo,Liverpool,Premier League,"MF,DF"
4589,Youssoufa Moukoko,Nice,Ligue 1,"FW,MF"
4593,Amine Adli,Leverkusen,Bundesliga,"MF,FW"
4597,András Schäfer,Union Berlin,Bundesliga,MF
4599,Angelo Stiller,Stuttgart,Bundesliga,MF
4600,Anthony Losilla,Bochum,Bundesliga,MF
4602,Anton Stach,Hoffenheim,Bundesliga,"MF,DF"
4604,Arijon Ibrahimović,Bayern Munich,Bundesliga,FW
4605,Armel Bella Kotchap,Southampton,Premier League,DF
4607,Aster Vranckx,Wolfsburg,Bundesliga,MF
4617,Cristian Gamboa,Bochum,Bundesliga,DF
4618,Daniel Klein,Augsburg,Bundesliga,GK
4619,David Nemeth,St Pauli,Bundesliga,DF
4620,David Raum,RB Leipzig,Bundesliga,DF
4627,Dominik Szoboszlai,Liverpool,Premier League,MF
4628,Donyell Malen,Aston Villa,Premier League,FW
4630,Enzo Millot,Stuttgart,Bundesliga,"MF,FW"
4631,Erhan Mašović,Bochum,Bundesliga,DF
4633,Felix Nmecha,Dortmund,Bundesliga,MF
4639,Gabriel Vidovic,Bayern Munich,Bundesliga,MF
4645,Hiroki Ito,Bayern Munich,Bundesliga,DF
4647,Iker Bravo,Udinese,Serie A,"FW,MF"
4648,Ilaix Moriba,Celta Vigo,La Liga,MF
4649,Jamie Gittens,Dortmund,Bundesliga,"FW,MF"
4651,Jamie Leweling,Stuttgart,Bundesliga,"MF,FW"
4655,Jesper Lindstrøm,Everton,Premier League,FW
4656,Joe Scally,Gladbach,Bundesliga,DF
4657,Jonas Urbig,Bayern Munich,Bundesliga,GK
4658,Jonas Wind,Wolfsburg,Bundesliga,"FW,MF"
4659,Joško Gvardiol,Manchester City,Premier League,DF
4660,Julian Chabot,Stuttgart,Bundesliga,DF
4662,Jurgen Ekkelenkamp,Udinese,Serie A,MF
4664,Justin Njinmah,Werder Bremen,Bundesliga,"FW,MF"
4666,Kenneth Schmidt,Freiburg,Bundesliga,DF
4667,Kevin Behrens,Wolfsburg,Bundesliga,FW
4668,Kevin Paredes,Wolfsburg,Bundesliga,DF
4669,Kristijan Jakić,Augsburg,Bundesliga,MF
4671,Lasse Rieß,Mainz 05,Bundesliga,GK
4674,Lee Jae-Sung,Mainz 05,Bundesliga,MF
4675,Lennard Maloney,Heidenheim,Bundesliga,MF
4685,Manu Koné,Roma,Serie A,MF
4694,Maxim Leitsch,Mainz 05,Bundesliga,DF
4695,Maximilian Bauer,Augsburg,Bundesliga,DF
4698,Micky Van De Ven,Tottenham,Premier League,DF
4700,Mitchel Bakker,Atalanta,Serie A,MF
4701,Mohamed Simakan,RB Leipzig,Bundesliga,DF
4706,Noah Atubolu,Freiburg,Bundesliga,GK
4707,Noah Weißhaupt,Freiburg,Bundesliga,FW
4708,Odilon Kossounou,Atalanta,Serie A,DF
4712,Patrick Osterhage,Freiburg,Bundesliga,MF
4713,Patrick Wimmer,Wolfsburg,Bundesliga,"MF,FW"
4714,Paul Grave,Bochum,Bundesliga,GK
4715,Paul Wanner,Heidenheim,Bundesliga,"MF,FW"
4717,Piero Hincapié,Leverkusen,Bundesliga,DF
4721,Robert Wagner,St Pauli,Bundesliga,MF
4726,Silvan Widmer,Mainz 05,Bundesliga,DF
4727,Silvère Ganvoula M'Boussy,Monza,Serie A,FW
4730,Soumaïla Coulibaly,Brest,Ligue 1,DF
4733,Tiago Tomás,Wolfsburg,Bundesliga,"FW,MF"
4737,Tom Bischof,Hoffenheim,Bundesliga,"MF,FW"
4739,Tom Rothe,Union Berlin,Bundesliga,"DF,MF"
4741,Tymoteusz Puchacz,Holstein Kiel,Bundesliga,DF
4742,Umut Tohumcu,Hoffenheim,Bundesliga,"MF,FW"
4747,Yannik Engelhardt,Como,Serie A,"MF,DF"
4752,Adam Hložek,Hoffenheim,Bundesliga,"FW,MF"
4754,Aleksandar Pavlovic,Bayern Munich,Bundesliga,MF
4755,Alex Král,Espanyol,La Liga,MF
4756,Aljoscha Kemlein,Union Berlin,Bundesliga,MF
4758,Andreas Hanche-Olsen,Mainz 05,Bundesliga,DF
4760,Angelo Fulgini,Lens,Ligue 1,"MF,FW"
4761,Anthony Caci,Mainz 05,Bundesliga,DF
4762,Arne Engels,Augsburg,Bundesliga,"MF,FW"
4763,Aurélio Buta,Reims,Ligue 1,DF
4767,Brajan Gruda,Brighton,Premier League,"MF,FW"
4769,Callum Hudson-Odoi,Nott'ham Forest,Premier League,"FW,MF"
4770,Chidera Ejuke,Sevilla,La Liga,FW
4771,Daley Blind,Girona,La Liga,DF
4775,Danilho Doekhi,Union Berlin,Bundesliga,DF
4777,David Odogu,Wolfsburg,Bundesliga,DF
4782,Diogo Leite,Union Berlin,Bundesliga,DF
4787,Fabio Chiarodia,Gladbach,Bundesliga,DF
4788,Faride Alidou,Hellas Verona,Serie A,"FW,MF"
4790,Finn Ole Becker,Hoffenheim,Bundesliga,MF
4791,Florent Mollet,Nantes,Ligue 1,"MF,FW"
4799,Irvin Cardona,Espanyol,La Liga,"FW,MF"
4800,Ivan Ordets,Bochum,Bundesliga,DF
4803,Jakub Kamiński,Wolfsburg,Bundesliga,"DF,MF"
4805,Jens Stage,Werder Bremen,Bundesliga,MF
4811,Jonas Omlin,Gladbach,Bundesliga,GK
4813,Jordan Pefok,Reims,Ligue 1,FW
4817,Josip Juranović,Union Berlin,Bundesliga,"DF,MF"
4821,Julien Duranville,Dortmund,Bundesliga,"FW,MF"
4823,Junior Dina Ebimbe,Eint Frankfurt,Bundesliga,"MF,FW"
4824,Justin Diehl,Stuttgart,Bundesliga,"FW,DF"
4827,Karim Adeyemi,Dortmund,Bundesliga,"FW,MF"
4829,Keke Maximilian Topp,Werder Bremen,Bundesliga,"FW,MF"
4831,Kilian Fischer,Wolfsburg,Bundesliga,DF
4833,Ko Itakura,Gladbach,Bundesliga,DF
4841,Luca Pellegrini,Lazio,Serie A,DF
